""	"Open"	"High"	"Low"	"Close"	"Volume"
"1"	77	77	76.9	77	173600
"2"	77.2	77.3	76.95	77	2254400
"3"	77.3	77.3	77.1	77.2	326400
"4"	77.25	77.3	77.2	77.25	377600
"5"	77.4	77.45	77.25	77.25	372000
"6"	77.5	77.55	77.35	77.4	474800
"7"	77.4	77.6	77.35	77.55	905200
"8"	77.4	77.5	77.35	77.4	249600
"9"	77.4	77.45	77.4	77.4	158400
"10"	77.45	77.45	77.4	77.45	134800
"11"	77.25	77.45	77.25	77.45	770000
"12"	77.2	77.3	77.2	77.25	250400
"13"	77.15	77.25	77	77.25	486000
"14"	77.15	77.2	77.1	77.1	117600
"15"	77.15	77.2	77.1	77.1	179200
"16"	77.3	77.3	77.15	77.2	244400
"17"	77.35	77.35	77.25	77.3	196400
"18"	77.25	77.35	77.25	77.3	133600
"19"	77.25	77.3	77.2	77.3	141600
"20"	77.2	77.3	77.2	77.25	269200
"21"	77.2	77.25	77.15	77.2	446000
"22"	77.2	77.25	77.15	77.2	338400
"23"	77.15	77.2	77.1	77.2	478800
"24"	77.1	77.15	77.1	77.15	44000
"25"	77.2	77.2	77.1	77.15	182400
"26"	77.2	77.2	77.15	77.2	34400
"27"	77.15	77.2	77.1	77.15	82000
"28"	77	77.15	77	77.15	562800
"29"	77.05	77.1	77	77.05	173600
"30"	77.1	77.1	77.05	77.1	17200
"31"	77.05	77.1	77.05	77.05	107200
"32"	77.1	77.15	77.05	77.05	119200
"33"	77.1	77.15	77.1	77.15	162400
"34"	77.1	77.15	77.05	77.15	392800
"35"	76.95	77.05	76.95	77.05	752400
"36"	77	77	76.9	76.95	112000
"37"	76.9	77	76.85	77	260800
"38"	76.85	76.9	76.8	76.9	315600
"39"	76.8	76.9	76.8	76.9	129200
"40"	76.9	76.9	76.8	76.8	158800
"41"	76.95	76.95	76.85	76.9	190000
"42"	76.95	76.95	76.9	76.9	36800
"43"	76.95	76.95	76.9	76.9	46400
"44"	76.95	76.95	76.9	76.9	42400
"45"	77	77	76.9	76.95	94000
"46"	77	77	76.95	76.95	86800
"47"	76.95	77	76.95	77	91600
"48"	76.9	76.95	76.9	76.95	20000
"49"	77	77	76.9	76.9	152400
"50"	77.05	77.1	76.95	77	240000
"51"	77.15	77.15	77.1	77.1	219600
"52"	77.15	77.2	77.1	77.15	140400
"53"	77.1	77.15	77.05	77.1	92000
"54"	77.05	77.1	77.05	77.1	220000
"55"	77	77.05	77	77.05	114800
"56"	76.95	77	76.95	77	33200
"57"	77	77	76.95	76.95	26800
"58"	77	77	76.95	76.95	70400
"59"	76.95	77	76.95	77	25200
"60"	76.95	77	76.95	77	89600
"61"	76.9	76.95	76.9	76.95	10000
"62"	76.9	76.95	76.85	76.9	259600
"63"	76.9	76.9	76.85	76.85	134400
"64"	76.85	76.9	76.85	76.9	46800
"65"	76.85	76.9	76.85	76.9	28400
"66"	76.85	76.9	76.85	76.9	173200
"67"	76.85	76.85	76.8	76.85	144400
"68"	76.9	76.9	76.8	76.85	22000
"69"	76.85	76.9	76.8	76.9	12000
"70"	76.85	76.9	76.8	76.85	58800
"71"	76.8	76.85	76.8	76.85	17600
"72"	76.8	76.85	76.8	76.85	34800
"73"	76.8	76.8	76.75	76.8	497600
"74"	76.65	76.8	76.65	76.75	436800
"75"	76.65	76.65	76.55	76.65	146000
"76"	76.6	76.65	76.6	76.65	35200
"77"	76.6	76.65	76.55	76.6	133200
"78"	76.6	76.65	76.6	76.6	34400
"79"	76.6	76.6	76.55	76.6	135200
"80"	76.55	76.6	76.55	76.6	116000
"81"	76.55	76.6	76.5	76.55	123600
"82"	76.55	76.55	76.5	76.55	24800
"83"	76.5	76.55	76.5	76.5	38400
"84"	76.55	76.55	76.5	76.5	114400
"85"	76.55	76.6	76.5	76.55	108000
"86"	76.6	76.6	76.55	76.55	114000
"87"	76.55	76.6	76.55	76.6	59200
"88"	76.55	76.6	76.55	76.6	40400
"89"	76.6	76.6	76.55	76.6	36400
"90"	76.6	76.65	76.55	76.6	62400
"91"	76.6	76.65	76.6	76.65	78800
"92"	76.6	76.6	76.5	76.55	144800
"93"	76.55	76.6	76.55	76.55	76800
"94"	76.6	76.6	76.55	76.55	111200
"95"	76.65	76.65	76.55	76.55	120400
"96"	76.7	76.75	76.65	76.65	150800
"97"	76.7	76.75	76.7	76.75	57600
"98"	76.75	76.75	76.65	76.65	58400
"99"	76.75	76.75	76.65	76.75	136800
"100"	76.7	76.75	76.7	76.75	23200
"101"	76.7	76.7	76.65	76.7	53600
"102"	76.65	76.7	76.65	76.7	117200
"103"	76.7	76.7	76.65	76.65	37600
"104"	76.75	76.75	76.7	76.75	14400
"105"	76.7	76.7	76.65	76.7	73200
"106"	76.65	76.7	76.65	76.7	116800
"107"	76.7	76.7	76.65	76.65	109600
"108"	76.75	76.75	76.7	76.7	29200
"109"	76.7	76.75	76.7	76.75	16800
"110"	76.75	76.75	76.7	76.75	27600
"111"	76.75	76.75	76.7	76.7	25600
"112"	76.75	76.75	76.7	76.7	14400
"113"	76.75	76.75	76.7	76.75	32000
"114"	76.7	76.75	76.7	76.7	5600
"115"	76.75	76.75	76.7	76.7	70000
"116"	76.7	76.75	76.7	76.7	31600
"117"	76.7	76.75	76.7	76.7	8800
"118"	76.7	76.75	76.7	76.75	78800
"119"	76.8	76.8	76.7	76.75	148400
"120"	76.75	76.8	76.7	76.75	92000
"121"	76.8	76.8	76.75	76.75	7600
"122"	76.7	76.75	76.65	76.75	389200
"123"	76.7	76.75	76.7	76.7	82000
"124"	76.75	76.8	76.7	76.75	51200
"125"	76.75	76.8	76.75	76.75	7600
"126"	76.75	76.8	76.75	76.75	22400
"127"	76.75	76.8	76.75	76.75	80000
"128"	76.75	76.75	76.7	76.75	12800
"129"	76.7	76.75	76.7	76.75	20000
"130"	76.7	76.75	76.7	76.75	45200
"131"	76.7	76.75	76.7	76.75	38800
"132"	76.75	76.75	76.7	76.7	10000
"133"	76.8	76.8	76.7	76.7	147200
"134"	76.75	76.75	76.75	76.75	82000
"135"	76.7	76.8	76.7	76.8	66000
"136"	76.8	76.8	76.7	76.7	43200
"137"	76.8	76.8	76.8	76.8	153600
"138"	76.8	76.85	76.8	76.85	28800
"139"	76.85	76.85	76.8	76.8	6000
"140"	76.85	76.85	76.8	76.85	47600
"141"	76.85	76.85	76.85	76.85	73600
"142"	76.8	76.85	76.8	76.85	12400
"143"	76.8	76.85	76.8	76.85	6000
"144"	76.8	76.85	76.8	76.85	10400
"145"	76.85	76.85	76.8	76.85	8000
"146"	76.8	76.85	76.8	76.85	91200
"147"	76.85	76.85	76.8	76.85	6800
"148"	76.8	76.85	76.8	76.8	12400
"149"	76.75	76.8	76.75	76.8	86800
"150"	76.75	76.8	76.75	76.8	27600
"151"	76.8	76.8	76.75	76.75	77200
"152"	76.8	76.8	76.75	76.8	41200
"153"	76.8	76.8	76.75	76.8	69600
"154"	76.85	76.85	76.75	76.8	90400
"155"	76.8	76.85	76.8	76.8	29200
"156"	76.8	76.85	76.8	76.8	8000
"157"	76.85	76.85	76.8	76.85	8000
"158"	76.85	76.85	76.8	76.8	39600
"159"	76.85	76.85	76.8	76.8	7600
"160"	76.8	76.85	76.8	76.8	9600
"161"	76.85	76.85	76.8	76.85	30000
"162"	76.8	76.85	76.8	76.85	10000
"163"	76.9	76.9	76.85	76.85	56000
"164"	76.95	76.95	76.85	76.9	64000
"165"	76.9	76.95	76.85	76.9	57200
"166"	76.9	76.95	76.85	76.9	33600
"167"	76.95	76.95	76.9	76.9	35600
"168"	76.9	76.95	76.9	76.9	31200
"169"	76.85	76.95	76.85	76.9	105600
"170"	76.95	76.95	76.85	76.9	27200
"171"	76.9	76.95	76.9	76.9	5200
"172"	76.85	76.9	76.85	76.9	25600
"173"	76.85	76.9	76.85	76.9	6000
"174"	76.85	76.9	76.85	76.85	35200
"175"	76.85	76.9	76.85	76.85	7200
"176"	76.9	76.9	76.85	76.85	16000
"177"	76.85	76.9	76.85	76.85	18400
"178"	76.85	76.9	76.85	76.9	132400
"179"	76.8	76.8	76.8	76.8	1200
"180"	76.8	76.8	76.8	76.8	2000
"181"	76.8	76.85	76.8	76.8	7200
"182"	76.85	76.85	76.8	76.85	20800
"183"	76.8	76.85	76.8	76.8	48000
"184"	76.8	76.85	76.8	76.85	7200
"185"	76.8	76.85	76.8	76.8	6400
"186"	76.8	76.8	76.8	76.8	5600
"187"	76.8	76.85	76.8	76.8	17200
"188"	76.8	76.85	76.8	76.85	12800
"189"	76.8	76.85	76.8	76.85	6400
"190"	76.85	76.85	76.8	76.8	5200
"191"	76.8	76.85	76.8	76.8	16800
"192"	76.8	76.85	76.8	76.8	16000
"193"	76.8	76.8	76.8	76.8	14400
"194"	76.8	76.85	76.8	76.85	20400
"195"	76.8	76.85	76.8	76.8	5600
"196"	76.85	76.85	76.8	76.8	6800
"197"	76.8	76.85	76.8	76.8	18400
"198"	76.85	76.85	76.8	76.8	40000
"199"	76.8	76.85	76.8	76.8	3600
"200"	76.85	76.85	76.8	76.8	49600
"201"	76.85	76.85	76.8	76.8	6400
"202"	76.8	76.85	76.8	76.8	8400
"203"	76.8	76.85	76.8	76.8	9200
"204"	76.8	76.85	76.8	76.8	15200
"205"	76.75	76.8	76.75	76.8	106400
"206"	76.8	76.8	76.8	76.8	7200
"207"	76.8	76.8	76.8	76.8	1600
"208"	76.8	76.8	76.75	76.8	23200
"209"	76.8	76.8	76.75	76.8	157200
"210"	76.75	76.75	76.75	76.75	12000
"211"	76.75	76.8	76.75	76.8	1600
"212"	76.75	76.8	76.75	76.75	29200
"213"	76.75	76.75	76.75	76.75	64400
"214"	76.8	76.8	76.75	76.75	54000
"215"	76.75	76.8	76.75	76.75	8000
"216"	76.8	76.8	76.75	76.75	9600
"217"	76.8	76.8	76.8	76.8	7200
"218"	76.75	76.8	76.75	76.8	33600
"219"	76.8	76.8	76.75	76.8	51200
